problem_index,family,corruption_type,is_correct,verdict,caught,difference_multiple_of_M
38,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
38,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
38,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
38,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
39,bigprod,correct,1,NOT_RULED_OUT,,1
39,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
39,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
39,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
39,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
39,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
39,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
40,power,correct,1,NOT_RULED_OUT,,1
40,power,random_offset,0,RULED_OUT_WRONG,1,0
40,power,digit_transpose,0,RULED_OUT_WRONG,1,0
40,power,off_by_power10,0,RULED_OUT_WRONG,1,0
40,power,sign_flip,0,RULED_OUT_WRONG,1,0
40,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
40,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
41,factorial,correct,1,NOT_RULED_OUT,,1
41,factorial,random_offset,0,RULED_OUT_WRONG,1,0
41,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
41,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
41,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
41,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
41,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
42,fibonacci,correct,1,NOT_RULED_OUT,,1
42,fibonacci,random_offset,0,RULED_OUT_WRONG,1,0
42,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
42,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
42,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
42,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
42,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
43,bigsum,correct,1,NOT_RULED_OUT,,1
43,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
43,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
43,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
43,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
43,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
43,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
44,bigprod,correct,1,NOT_RULED_OUT,,1
44,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
44,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
44,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
44,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
44,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
44,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
45,power,correct,1,NOT_RULED_OUT,,1
45,power,random_offset,0,RULED_OUT_WRONG,1,0
45,power,digit_transpose,0,RULED_OUT_WRONG,1,0
45,power,off_by_power10,0,RULED_OUT_WRONG,1,0
45,power,sign_flip,0,RULED_OUT_WRONG,1,0
45,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
45,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
46,factorial,correct,1,NOT_RULED_OUT,,1
46,factorial,random_offset,0,RULED_OUT_WRONG,1,0
46,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
46,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
46,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
46,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
46,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
47,fibonacci,correct,1,NOT_RULED_OUT,,1
47,fibonacci,random_offset,0,RULED_OUT_WRONG,1,0
47,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
47,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
